,terreno,formacion,lat,lon,captura,nombre,descripcion,ruta
0,Cuenca Norte,,-32.38939666666666,-54.08419797222223,2023:06:28 12:48:55,Afloramiento 3.7.02,desc,https://drive.google.com/uc?id=1dZoklj9pPtYaBiA1hvc5MKbLad1lNitb
1,Cuenca Norte,,-32.39018630555555,-54.08470152777778,2023:06:28 12:41:39,Afloramiento 3.7.01,desc,https://drive.google.com/uc?id=1iN6p4eIwNkePofoG8cEwfeq_9kcsIlVc
2,Cuenca Norte,Fm. Cerro Pelado,-32.38202283333333,-54.10531233333334,2023:06:28 12:28:07,Afloramiento 3.6.04,desc,https://drive.google.com/uc?id=1vDyuqokUbLo8nsQSX-LB8D7q03TitLL6
3,Cuenca Norte,Fm. Cerro Pelado,-32.38190077777778,-54.105598444444446,2023:06:28 12:26:55,Afloramiento 3.6.03,desc,https://drive.google.com/uc?id=1O4h1-FnWd-thFEhloyVqTd62SVDHOTle
4,Cuenca Norte,Fm. Cerro Pelado,-32.38187788888889,-54.10557172222222,2023:06:28 12:26:50,Afloramiento 3.6.02,desc,https://drive.google.com/uc?id=1L-qaJ-eGtr0L3ZxUl1xiIAksoFIPIpf7
5,Cuenca Norte,Fm. Cerro Pelado,-32.38190841666667,-54.10604858333333,2023:06:28 12:21:26,Afloramiento 3.6.01,desc,https://drive.google.com/uc?id=1HPDBLsg7_K8ac2uYWRf6umaesP2c92ck
6,Cuenca Norte,Fm. Tres Islas,-32.39645766666666,-54.10985563888889,2023:06:28 11:48:55,Afloramiento 3.5.08,desc,https://drive.google.com/uc?id=1wL2biR2deKsG-YFpcQL2k_vwmisgs85B
7,Cuenca Norte,Fm. Tres Islas,-32.3967285,-54.10973355555556,2023:06:28 11:45:36,Afloramiento 3.5.07,desc,https://drive.google.com/uc?id=1OzuGL3IDmmo3VyqRu7os-nuo9TwQ53z0
8,Cuenca Norte,Fm. Tres Islas,-32.397121416666664,-54.10980222222222,2023:06:28 11:41:00,Afloramiento 3.5.06,desc,https://drive.google.com/uc?id=1J_oh9dz4YqRlpyW7bmECSJvMuLxmOnad
9,Cuenca Norte,Fm. Tres Islas,-32.39709088888889,-54.10987852777778,2023:06:28 11:38:49,Afloramiento 3.5.05,desc,https://drive.google.com/uc?id=1NlxPWhWUxQQc-5Hq6YMG__xpqXaXgrLI
10,Cuenca Norte,Fm. Tres Islas,-32.397037499999996,-54.10984038888889,2023:06:28 11:37:27,Afloramiento 3.5.04,desc,https://drive.google.com/uc?id=1UqjmP86Euu1__FogWs8QYGc_N-T4Petr
11,Cuenca Norte,Fm. Tres Islas,-32.397037499999996,-54.109825111111114,2023:06:28 11:37:24,Afloramiento 3.5.03,desc,https://drive.google.com/uc?id=1WbkrhLpmp44ZATEcFCSbjfl8s8Cs_ud_
12,Cuenca Norte,Fm. Tres Islas,-32.39709088888889,-54.10965347222222,2023:06:28 11:34:36,Afloramiento 3.5.02,desc,https://drive.google.com/uc?id=13nsju2tnX8Aoe6HXsswGRRQlcG--cNXP
13,Cuenca Norte,Fm. Tres Islas,-32.39684675,-54.10971830555556,2023:06:28 11:31:06,Afloramiento 3.5.01,desc,https://drive.google.com/uc?id=1rhXViCbmIvjcAdn_h6NOipzUcR4YQaUq
14,Cuenca Norte,Contacto Fm. Yaguari - Fm. Buena Vista,-32.376274083333335,-54.27244186111111,2023:06:28 10:54:07,Afloramiento 3.4.01,desc,https://drive.google.com/uc?id=11lC9WguuY5khIeHuJ5-sN_2jdylIan6o
15,Cuenca Norte,Fm. Buena Vista,-32.375186916666664,-54.27674483333333,2023:06:28 10:36:21,Afloramiento 3.3.02,desc,https://drive.google.com/uc?id=1eWg4QCB62cz9RvM-TCET3cvmdlBPFgL8
16,Cuenca Norte,Fm. Buena Vista,-32.375370000000004,-54.27663419444444,2023:06:28 10:32:06,Afloramiento 3.3.01,desc,https://drive.google.com/uc?id=1G3EwrC-hs-LqH6yS7-zHBs3UqWb0YXE7
