,formacion,lat,lon,captura,ruta
0,2022-05-05 10.29.15.jpg,-34.70264813888889,-55.25492475,2022:05:05 10:29:17,https://drive.google.com/uc?id=10pNMnNE59Xqk0T858xXBRaLOsaRbrAl3
1,2022-05-08 12.46.34.jpg,-34.873081194444445,-56.337478611111116,2022:05:08 12:46:35,https://drive.google.com/uc?id=1pLXvJQelV4J2D0Hvla8nf6SsjGwkT0yl
2,2022-05-08 10.35.14.jpg,-34.89575955555556,-56.24822613888889,2022:05:08 10:35:16,https://drive.google.com/uc?id=1z9u5dM8aalmjPVFf5IyqUxLSFOX4PxzB
3,2022-05-06 16.05.23.jpg,-34.38281630555556,-54.489250166666665,2022:05:06 16:05:25,https://drive.google.com/uc?id=1Duxidoi6GH13kELz9dCyHJ59ZYjBxLSh
4,IMG_1860.jpg,-34.70246388888889,-55.255091666666665,2022:05:05 11:11:13,https://drive.google.com/uc?id=1GmZpo_sfk5ksUuAXJFEvwjWcjcfypzjR
5,IMG_1863.jpg,-34.382441666666665,-54.48994166666667,2022:05:06 16:05:01,https://drive.google.com/uc?id=1mwSb-GcPfXAeVON9n3kviDGotP82BNU0
6,IMG_1864.jpg,-34.38285555555556,-54.48896111111111,2022:05:06 16:12:42,https://drive.google.com/uc?id=1YVpgmLgsVN8bnaxr7UAOk4o_39LEiqQZ
7,2022-05-08 12.57.39.jpg,-34.87309644444444,-56.33763122222222,2022:05:08 12:57:40,https://drive.google.com/uc?id=1XzCjuyrzxCYshh6-bLe_ijyvHxBt8wnT
8,2022-05-08 12.55.59.jpg,-34.872840861111115,-56.33784863888889,2022:05:08 12:56:01,https://drive.google.com/uc?id=1KWiBdpar17P0cGyLDz5qIaVy1EDlzX-l
9,2022-05-08 12.49.04.jpg,-34.873008722222224,-56.33753202777778,2022:05:08 12:49:05,https://drive.google.com/uc?id=1gNXrA4D7rKptk0yTsDlj_xvVvAn0N_LD
10,2022-05-08 12.48.43.jpg,-34.873008722222224,-56.33752058333334,2022:05:08 12:48:44,https://drive.google.com/uc?id=19-HLFYtcyx7QCmvGu8TJksk27gtW0XHQ
11,2022-05-08 12.19.56.jpg,-34.87645719444445,-56.33482358333334,2022:05:08 12:19:57,https://drive.google.com/uc?id=1-qaZHqDBTyPdZw2AZT3edCksrC1Hjr7D
12,2022-05-08 11.07.55.jpg,-34.895687083333335,-56.24823377777778,2022:05:08 11:07:56,https://drive.google.com/uc?id=1Fphg-jLmT551chMeqO2Icc1OLbFtIGJN
13,2022-05-08 10.27.40.jpg,-34.895770999999996,-56.24819183333334,2022:05:08 10:27:41,https://drive.google.com/uc?id=14Jy7rlfDTHRSp-TAhGg0ZF0PAmcX204x
14,2022-05-07 13.21.53.jpg,-34.39762113888889,-55.260036444444445,2022:05:07 13:21:54,https://drive.google.com/uc?id=1zMKTp6hCDNRtip3N3lFinLJKaSIQzvZb
15,2022-05-07 12.40.14.jpg,-34.39376447222222,-55.25977325,2022:05:07 12:40:15,https://drive.google.com/uc?id=1PxDWYZp2TfhF9M7eO2oJHaJiKu8ZzCtj
16,2022-05-07 12.12.39.jpg,-34.39367675,-55.2598915,2022:05:07 12:12:39,https://drive.google.com/uc?id=1Q2pBFaywttMqs48sFz97NDFo5GaBWCW4
17,2022-05-07 10.14.33.jpg,-34.291484805555555,-55.266544333333336,2022:05:07 10:14:34,https://drive.google.com/uc?id=1teaqHKtF31lwHdDLYdzqL2T5n0XcDdAr
18,2022-05-07 10.11.53.jpg,-34.290775277777776,-55.26704025,2022:05:07 10:11:54,https://drive.google.com/uc?id=1kZVpSNk2x3Bf-oIKtRSdH0me0l_fgauI
19,2022-05-07 10.08.23.jpg,-34.291053749999996,-55.267818444444444,2022:05:07 10:08:25,https://drive.google.com/uc?id=1KET7f4qoOZsnaH-R2Mbq8D9zaXhZrO3D
20,2022-05-06 15.43.47.jpg,-34.38100433333334,-54.49169538888889,2022:05:06 15:43:48,https://drive.google.com/uc?id=1fzedXtUawJgRCS7VQKOcz8isdnSflVRf
21,2022-05-06 13.39.11.jpg,-34.66627883333333,-54.150791166666664,2022:05:06 13:39:12,https://drive.google.com/uc?id=1MJALZuiKFxCwav_5nXsy7uO2kjzII12C
22,2022-05-06 13.35.51.jpg,-34.66626355555555,-54.15084836111111,2022:05:06 13:35:52,https://drive.google.com/uc?id=1xLJ6OIll3O4Hu_6epj9TuitfpLd0jIt2
23,2022-05-06 13.26.07.jpg,-34.66693877777777,-54.151061999999996,2022:05:06 13:26:07,https://drive.google.com/uc?id=12qRtqa1El0_gGbsmLUywNqFfUu3Yn8WG
24,2022-05-06 12.30.37.jpg,-34.66848752777778,-54.151741027777774,2022:05:06 12:30:38,https://drive.google.com/uc?id=1OFg5nnANVi1lsV6KrNOLcM2Fj3gwuGYF
25,2022-05-06 12.30.14.jpg,-34.668422694444445,-54.151813499999996,2022:05:06 12:30:15,https://drive.google.com/uc?id=1Ikzqu4NL6D4b92S7b0r9V3Ioy8zNqBed
26,2022-05-06 12.26.36.jpg,-34.66833875,-54.15195083333333,2022:05:06 12:26:36,https://drive.google.com/uc?id=1-iXdqPxO4tfUXexLqqqjh4wB8nqQzdVY
27,2022-05-06 12.26.19.jpg,-34.66833875,-54.15195083333333,2022:05:06 12:26:20,https://drive.google.com/uc?id=1u17333IK5N0iVawCmdFAFsXuB_lCSxoU
28,2022-05-06 12.25.54.jpg,-34.66833875,-54.15198133333333,2022:05:06 12:25:54,https://drive.google.com/uc?id=1utEgtQTLr1asUwn3bhvHZqrvts0hPraE
29,2022-05-06 12.22.25.jpg,-34.66831969444444,-54.15199277777778,2022:05:06 12:22:26,https://drive.google.com/uc?id=1NJ241qc3pDb-zEoE3Z5jroPGYn7cTIkC
30,2022-05-06 12.22.10.jpg,-34.66831969444444,-54.15199277777778,2022:05:06 12:22:11,https://drive.google.com/uc?id=1gqCrRcJgJRjF3Ln_9UZMupaeRboeNYAu
31,2022-05-05 17.44.27.jpg,-34.37551877777778,-55.08345030555556,2022:05:05 17:44:28,https://drive.google.com/uc?id=1fRqvwkzMjxn-7t2enUGkvZdVMBVCPWaJ
32,2022-05-05 16.26.26.jpg,-34.372299194444444,-55.05271147222222,2022:05:05 16:26:27,https://drive.google.com/uc?id=16J9pNie-_2HXGPmzEPUIruhaXaUwq2c0
33,2022-05-05 16.24.24.jpg,-34.372337333333334,-55.05276869444444,2022:05:05 16:24:25,https://drive.google.com/uc?id=1atZATk55G11S9J1Jx39GMkyCpq7Yqab4
34,2022-05-05 10.56.46.jpg,-34.70235441666667,-55.254833194444444,2022:05:05 10:56:47,https://drive.google.com/uc?id=1GL20lrJU-35Wgp8G4Vhf8HGxgE2x4M9s
